Track ID,Track Name,Album Name,Artist Name(s),Duration (ms),Popularity,Genres,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6SpLc7EXZIPpy0sVko0aoU,Misery Business,Riot!,Paramore,211520,71,"pop punk,emo,emo pop",0.517,0.906,1,-3.677,0.0735,0.00272,0.00000926,0.113,0.731,172.977,4
1yYlpGuBiRRf33e1gY61bN,Night Shift,Historian,Lucy Dacus,391829,62,,0.48,0.311,9,-7.887,0.0258,0.313,0.0000152,0.113,0.162,86.15,4
10nyNJ6zNy2YVYLrcwLccB,No Surprises,OK Computer,Radiohead,229120,78,"art rock,alternative rock",0.255,0.393,5,-10.654,0.0278,0.0577,0.00361,0.113,0.118,76.426,4
7bPWdJgx8vek7S5i5yAtvG,Chemtrails Over The Country Club,Chemtrails Over The Country Club,Lana Del Rey,271176,75,,0.334,0.276,4,-13.125,0.0643,0.877,0.000249,0.113,0.429,201.025,3
45i70K1PefHafKui2WxH0M,Oh Ana,Touch Up,Mother Mother,197080,0,,0.512,0.525,5,-7.152,0.0429,0.672,0.0000166,0.112,0.337,128.054,4
5ZXvCHbKFP2uIoCyXF30xI,I Can't Fix You (feat. Crusher-P),I Can't Fix You,"The Living Tombstone,Crusher-P",278742,56,vocaloid,0.461,0.795,1,-4.813,0.0462,0.0000455,0.106,0.111,0.364,174.02,4
0wH55ChKuoZkmGhbIYtOI4,All The Things She Said,All The Things She Said,Poppy,221498,51,,0.568,0.833,1,-5.026,0.0497,0.0036,0.000174,0.111,0.531,90.036,4
709p9UGPAuyImWf1Z3vjRo,Let You Break My Heart Again,Let You Break My Heart Again,"Laufey,Philharmonia Orchestra",269066,73,"opera,classical,orchestra",0.299,0.142,2,-15.134,0.0369,0.965,0.113,0.111,0.123,76.748,4
7fyG2MquxykO3Ufiku1Dj2,Treehouse,Treehouse,"Alex G,Emily Yacina",158801,75,,0.612,0.196,7,-19.489,0.0359,0.706,0.319,0.111,0.142,73.489,4
53IRnAWx13PYmoVYtemUBS,Femininomenon,The Rise and Fall of a Midwest Princess,Chappell Roan,219710,77,,0.609,0.758,0,-4.885,0.0525,0.139,0.00000538,0.11,0.236,124.949,4
1k2pQc5i348DCHwbn5KTdc,Pink Pony Club,The Rise and Fall of a Midwest Princess,Chappell Roan,258034,83,,0.61,0.65,6,-6.199,0.0474,0.399,0,0.11,0.507,106.719,4
4ZYAU4A2YBtlNdqOUtc7T2,Red Ruby Da Sleeze,Red Ruby Da Sleeze,Nicki Minaj,214445,56,,0.655,0.738,1,-6.235,0.254,0.108,0,0.11,0.314,99.4,4
